ENTRY,NAME,DEFINITION,EQUATION,ENZYME,BRITE,RHEA,COMMENT,RCLASS,PATHWAY,ORTHOLOGY,MODULE,REMARK,REFERENCE
R07576,,8'-Hydroxyabscisate <=> Phaseic acid,C15514 <=> C09707,,,,,RC02032  C09707_C15514,rn00906: Carotenoid biosynthesis,,,,
R07577,,Phaseic acid <=> Dihydrophaseic acid,C09707 <=> C15971,,,,,RC00144  C09707_C15971,rn00906: Carotenoid biosynthesis,,,,
R07578,,beta-Cryptoxanthin <=> Thermocryptoxanthin,C08591 <=> C15982,,,,,RC00049  C08591_C15982,rn00906: Carotenoid biosynthesis,,,,
R07579,,Thermocryptoxanthin <=> Thermozeaxanthin,C15982 <=> C15983,,,,,RC00478  C15982_C15983,rn00906: Carotenoid biosynthesis,,,,
R07580,,Zeaxanthin <=> Thermozeaxanthin,C06098 <=> C15983,,,,,RC00049  C06098_C15983,rn00906: Carotenoid biosynthesis,,,,
R07581,,Thermozeaxanthin <=> Thermobiszeaxanthin,C15983 <=> C15984,,,,,RC00049  C15983_C15984,rn00906: Carotenoid biosynthesis,,,,
R07582,"(9S,10S)-10-hydroxy-9-(phosphonooxy)octadecanoate phosphohydrolase","(9S,10S)-10-Hydroxy-9-(phosphonooxy)octadecanoate + H2O <=> (9S,10S)-9,10-Dihydroxyoctadecanoate + Orthophosphate",C15989 + C00001 <=> C15988 + C00009,3.1.3.76,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.1  Acting on ester bonds///   3.1.3  Phosphoric-monoester hydrolases///    3.1.3.76///     R07582  (9S,10S)-10-Hydroxy-9-(phosphonooxy)octadecanoate + H2O <=> (9S,10S)-9,10-Dihydroxyoctadecanoate + Orthophosphate",16540,,RC00428  C15988_C15989,,,,,
R07583,myo-inositol-hexakisphosphate 5-phosphohydrolase,"Phytic acid + H2O <=> 1L-myo-Inositol 1,2,3,4,6-pentakisphosphate + Orthophosphate",C01204 + C00001 <=> C15990 + C00009,3.1.3.72,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.1  Acting on ester bonds///   3.1.3  Phosphoric-monoester hydrolases///    3.1.3.72///     R07583  Phytic acid + H2O <=> 1L-myo-Inositol 1,2,3,4,6-pentakisphosphate + Orthophosphate",13004,,RC00078  C01204_C15990,,,,,
R07597,"5,6alpha-epoxy-5alpha-cholestan-3beta-ol hydrolase","Cholesterol-5alpha,6alpha-epoxide + H2O <=> 3beta,5alpha,6beta-Cholestanetriol",C15992 + C00001 <=> C05425,3.3.2.11,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.3  Acting on ether bonds///   3.3.2  Ether hydrolases///    3.3.2.11///     R07597  Cholesterol-5alpha,6alpha-epoxide + H2O <=> 3beta,5alpha,6beta-Cholestanetriol",11967,,RC01473  C05425_C15992,,,,,
R07598,L-lysine:oxygen 6-oxidoreductase (deaminating),L-Lysine + Oxygen + H2O <=> L-2-Aminoadipate 6-semialdehyde + Hydrogen peroxide + Ammonia,C00047 + C00007 + C00001 <=> C04076 + C00027 + C00014,1.4.3.20,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.4  Acting on the CH-NH2 group of donors///   1.4.3  With oxygen as acceptor///    1.4.3.20///     R07598  L-Lysine + Oxygen + H2O <=> L-2-Aminoadipate 6-semialdehyde + Hydrogen peroxide + Ammonia,22551,,RC00062  C00047_C04076///RC02755  C00007_C00027,,,,,
R07599,,3-Methyl-2-oxobutanoic acid + Thiamin diphosphate <=> 2-Methyl-1-hydroxypropyl-ThPP + CO2,C00141 + C00068 <=> C15976 + C00011,1.2.4.4,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.2  Acting on the aldehyde or oxo group of donors///   1.2.4  With a disulfide as acceptor///    1.2.4.4///     R07599  3-Methyl-2-oxobutanoic acid + Thiamin diphosphate <=> 2-Methyl-1-hydroxypropyl-ThPP + CO2,,"Oxo-acid dehydrogenase complexes (see R01701), subsequently R07600",RC00027  C00068_C15976///RC02949  C00141_C15976,"rn00280: Valine, leucine and isoleucine degradation///rn00785: Lipoic acid metabolism",2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]///2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]///2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4],,,
R07600,,2-Methyl-1-hydroxypropyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine + Thiamin diphosphate,C15976 + C15972 <=> C15977 + C00068,1.2.4.4,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.2  Acting on the aldehyde or oxo group of donors///   1.2.4  With a disulfide as acceptor///    1.2.4.4///     R07600  2-Methyl-1-hydroxypropyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine + Thiamin diphosphate,,"Oxo-acid dehydrogenase complexes (see R01701), following after R07599",RC00027  C00068_C15976///RC00627  C15972_C15977///RC02953  C15976_C15977,"rn00280: Valine, leucine and isoleucine degradation///rn00785: Lipoic acid metabolism",2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]///2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]///2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4],,,
R07601,,4-Methyl-2-oxopentanoate + Thiamin diphosphate <=> 3-Methyl-1-hydroxybutyl-ThPP + CO2,C00233 + C00068 <=> C15974 + C00011,1.2.4.4,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.2  Acting on the aldehyde or oxo group of donors///   1.2.4  With a disulfide as acceptor///    1.2.4.4///     R07601  4-Methyl-2-oxopentanoate + Thiamin diphosphate <=> 3-Methyl-1-hydroxybutyl-ThPP + CO2,,"Oxo-acid dehydrogenase complexes (see R01702), subsequently R07602",RC00027  C00068_C15974///RC02743  C00233_C15974,"rn00280: Valine, leucine and isoleucine degradation///rn00785: Lipoic acid metabolism///rn01100: Metabolic pathways",2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]///2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]///2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4],"Leucine degradation, leucine => acetoacetate + acetyl-CoA",,
R07602,,3-Methyl-1-hydroxybutyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine + Thiamin diphosphate,C15974 + C15972 <=> C15975 + C00068,1.2.4.4,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.2  Acting on the aldehyde or oxo group of donors///   1.2.4  With a disulfide as acceptor///    1.2.4.4///     R07602  3-Methyl-1-hydroxybutyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine + Thiamin diphosphate,,"Oxo-acid dehydrogenase complexes (see R01702), following after R07601",RC00027  C00068_C15974///RC00627  C15972_C15975///RC02883  C15974_C15975,"rn00280: Valine, leucine and isoleucine degradation///rn00785: Lipoic acid metabolism///rn01100: Metabolic pathways",2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]///2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]///2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4],"Leucine degradation, leucine => acetoacetate + acetyl-CoA",,
R07603,,(S)-3-Methyl-2-oxopentanoic acid + Thiamin diphosphate <=> 2-Methyl-1-hydroxybutyl-ThPP + CO2,C00671 + C00068 <=> C15978 + C00011,1.2.4.4,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.2  Acting on the aldehyde or oxo group of donors///   1.2.4  With a disulfide as acceptor///    1.2.4.4///     R07603  (S)-3-Methyl-2-oxopentanoic acid + Thiamin diphosphate <=> 2-Methyl-1-hydroxybutyl-ThPP + CO2,,"Oxo-acid dehydrogenase complexes (see R04225), subsequently R07604",RC00027  C00068_C15978///RC02949  C00671_C15978,"rn00280: Valine, leucine and isoleucine degradation///rn00785: Lipoic acid metabolism",2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]///2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]///2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4],,,
R07604,,2-Methyl-1-hydroxybutyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine + Thiamin diphosphate,C15978 + C15972 <=> C15979 + C00068,1.2.4.4,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.2  Acting on the aldehyde or oxo group of donors///   1.2.4  With a disulfide as acceptor///    1.2.4.4///     R07604  2-Methyl-1-hydroxybutyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine + Thiamin diphosphate,,"Oxo-acid dehydrogenase complexes (see R04225), following after R07603",RC00027  C00068_C15978///RC00627  C15972_C15979///RC02953  C15978_C15979,"rn00280: Valine, leucine and isoleucine degradation///rn00785: Lipoic acid metabolism",2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]///2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]///2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4],,,
R07605,7-aminomethyl-7-carbaguanine:NADP+ oxidoreductase,7-Aminomethyl-7-carbaguanine + 2 NADP+ <=> 7-Cyano-7-carbaguanine + 2 NADPH + 2 H+,C16675 + 2 C00006 <=> C15996 + 2 C00005 + 2 C00080,1.7.1.13,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.7  Acting on other nitrogenous compounds as donors///   1.7.1  With NAD+ or NADP+ as acceptor///    1.7.1.13///     R07605  7-Aminomethyl-7-carbaguanine + 2 NADP+ <=> 7-Cyano-7-carbaguanine + 2 NADPH + 2 H+,13412,,RC00001  C00005_C00006///RC01875  C15996_C16675,rn00790: Folate biosynthesis///rn01100: Metabolic pathways,7-cyano-7-deazaguanine reductase [EC:1.7.1.13]///7-cyano-7-deazaguanine reductase [EC:1.7.1.13],,,
R07606,L-methionine:thioredoxin-disulfide S-oxidoreductase,L-Methionine + Thioredoxin disulfide + H2O <=> L-Methionine (S)-S-oxide + Thioredoxin,C00073 + C00343 + C00001 <=> C15999 + C00342,1.8.4.11///1.8.4.13,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.8  Acting on a sulfur group of donors///   1.8.4  With a disulfide as acceptor///    1.8.4.11///     R07606  L-Methionine + Thioredoxin disulfide + H2O <=> L-Methionine (S)-S-oxide + Thioredoxin///    1.8.4.13///     R07606  L-Methionine + Thioredoxin disulfide + H2O <=> L-Methionine (S)-S-oxide + Thioredoxin,19996,,RC00013  C00342_C00343///RC00639  C00073_C15999,,,,,
R07607,peptide-methionine:thioredoxin-disulfide S-oxidoreductase,Peptide-L-methionine + Thioredoxin disulfide + H2O <=> Peptide-L-methionine (R)-S-oxide + Thioredoxin,C03023 + C00343 + C00001 <=> C15653 + C00342,1.8.4.12,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.8  Acting on a sulfur group of donors///   1.8.4  With a disulfide as acceptor///    1.8.4.12///     R07607  Peptide-L-methionine + Thioredoxin disulfide + H2O <=> Peptide-L-methionine (R)-S-oxide + Thioredoxin,24167,,RC00013  C00342_C00343///RC00639  C03023_C15653,,,,,
R07608,L-methionine:thioredoxin-disulfide S-oxidoreductase [L-methionine (R)-S-oxide-forming],L-Methionine + Thioredoxin disulfide + H2O <=> L-Methionine (R)-S-oxide + Thioredoxin,C00073 + C00343 + C00001 <=> C15998 + C00342,1.8.4.14,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.8  Acting on a sulfur group of donors///   1.8.4  With a disulfide as acceptor///    1.8.4.14///     R07608  L-Methionine + Thioredoxin disulfide + H2O <=> L-Methionine (R)-S-oxide + Thioredoxin,21263,,RC00013  C00342_C00343///RC00639  C00073_C15998,,,,,
R07609,,UDP-N-acetyl-D-galactosamine + Sda antigen - related compound <=> UDP + Sda antigen,G10611 + G00850 <=> G10619 + G00736,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R07609  UDP-N-acetyl-D-galactosamine + Sda antigen - related compound <=> UDP + Sda antigen///Glycosyltransferase reactions [BR:br08203]/// N-Acetylgalactosaminyltransferase reactions///  R07609  GalNAc b1-4 Gal,,,,,"beta-1,4-N-acetylgalactosaminyltransferase 2 [EC:2.4.1.-]",,,
R07610,,UDP-N-acetyl-D-galactosamine + G00388 <=> UDP + G05309,G10611 + G00388 <=> G10619 + G05309,2.4.1.244,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.244///     R07610  UDP-N-acetyl-D-galactosamine + G00388 <=> UDP + G05309///Glycosyltransferase reactions [BR:br08203]/// N-Acetylgalactosaminyltransferase reactions///  R07610  GalNAc b1-4 GlcNAc,,,,,"beta-1,4-N-acetylgalactosaminyltransferase 3 [EC:2.4.1.244]///beta-1,4-N-acetylgalactosaminyltransferase 4 [EC:2.4.1.244]",,,
R07611,,UDP-N-acetyl-D-galactosamine + G05309 <=> UDP + G00704,G10611 + G05309 <=> G10619 + G00704,2.4.1.244,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.244///     R07611  UDP-N-acetyl-D-galactosamine + G05309 <=> UDP + G00704///Glycosyltransferase reactions [BR:br08203]/// N-Acetylgalactosaminyltransferase reactions///  R07611  GalNAc b1-4 GlcNAc,,,,,"beta-1,4-N-acetylgalactosaminyltransferase 3 [EC:2.4.1.244]///beta-1,4-N-acetylgalactosaminyltransferase 4 [EC:2.4.1.244]",,,
R07612,reactive-black-5:hydrogen-peroxide oxidoreductase,Reactive black 5 + Hydrogen peroxide <=> Oxidized reactive black 5 + 2 H2O,C16001 + C00027 <=> C16002 + 2 C00001,1.11.1.16,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.11  Acting on a peroxide as acceptor///   1.11.1  Peroxidases///    1.11.1.16///     R07612  Reactive black 5 + Hydrogen peroxide <=> Oxidized reactive black 5 + 2 H2O,,,,,,,,
R07613,"LL-2,6-diaminoheptanedioate:2-oxoglutarate aminotransferase","LL-2,6-Diaminoheptanedioate + 2-Oxoglutarate <=> 2,3,4,5-Tetrahydrodipicolinate + L-Glutamate + H2O",C00666 + C00026 <=> C03972 + C00025 + C00001,2.6.1.83,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.6  Transferring nitrogenous groups///   2.6.1  Transaminases///    2.6.1.83///     R07613  LL-2,6-Diaminoheptanedioate + 2-Oxoglutarate <=> 2,3,4,5-Tetrahydrodipicolinate + L-Glutamate + H2O",23991,,RC00006  C00025_C00026///RC01847  C00666_C03972,rn00300: Lysine biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01230: Biosynthesis of amino acids,LL-diaminopimelate aminotransferase [EC:2.6.1.83],"Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine",,
R07614,,UDP-N-acetyl-D-galactosamine + G00025 <=> UDP + G13023,G10611 + G00025 <=> G10619 + G13023,2.4.1.313,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.313///     R07614  UDP-N-acetyl-D-galactosamine + G00025 <=> UDP + G13023///Glycosyltransferase reactions [BR:br08203]/// N-Acetylgalactosaminyltransferase reactions///  R07614  GalNAc b1-3 GlcNAc,,,,,"beta-1,3-N-acetylgalactosaminyltransferase 2 [EC:2.4.1.313]",,,
R07615,,UDP-N-acetyl-D-galactosamine + G01977 <=> UDP + G13024,G10611 + G01977 <=> G10619 + G13024,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R07615  UDP-N-acetyl-D-galactosamine + G01977 <=> UDP + G13024///Glycosyltransferase reactions [BR:br08203]/// N-Acetylglucosaminyltransferase reactions///  R07615  GlcNAc b1-3 Gal,,,,,"beta-1,3-N-acetylglucosaminyltransferase 7 [EC:2.4.1.-]",,,
R07616,,UDP-N-acetyl-D-galactosamine + G01941 <=> UDP + G13025,G10611 + G01941 <=> G10619 + G13025,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R07616  UDP-N-acetyl-D-galactosamine + G01941 <=> UDP + G13025///Glycosyltransferase reactions [BR:br08203]/// N-Acetylglucosaminyltransferase reactions///  R07616  GlcNAc b1-3 Gal,,,,,"beta-1,3-N-acetylglucosaminyltransferase 7 [EC:2.4.1.-]",,,
R07617,,UDP-D-galactose + G00025 <=> UDP + G11136,G10609 + G00025 <=> G10619 + G11136,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R07617  UDP-D-galactose + G00025 <=> UDP + G11136///Glycosyltransferase reactions [BR:br08203]/// Galactosyltransferase reactions///  R07617  Gal b1-4 GlcNAc,,,,,"beta-1,4-galactosyltransferase 1 [EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-]///beta-1,4-galactosyltransferase 4 [EC:2.4.1.90 2.4.1.275 2.4.1.-]///beta-1,4-galactosyltransferase 5 [EC:2.4.1.274 2.4.1.-]",,,
R07618,enzyme N6-(dihydrolipoyl)lysine:NAD+ oxidoreductase,Enzyme N6-(dihydrolipoyl)lysine + NAD+ <=> Enzyme N6-(lipoyl)lysine + NADH + H+,C15973 + C00003 <=> C15972 + C00004 + C00080,1.8.1.4,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.8  Acting on a sulfur group of donors///   1.8.1  With NAD+ or NADP+ as acceptor///    1.8.1.4///     R07618  Enzyme N6-(dihydrolipoyl)lysine + NAD+ <=> Enzyme N6-(lipoyl)lysine + NADH + H+///IUBMB reaction hierarchy [BR:br08202]/// 1. Oxidoreductase reactions///  1.8.1.4///   R08550  [Protein]-N6-[(R)-dihydrolipoyl]-L-lysine <=> Protein N6-(lipoyl)lysine///    R07618  Enzyme N6-(dihydrolipoyl)lysine <=> Enzyme N6-(lipoyl)lysine,15048,"Oxo-acid dehydrogenase complexes, dihydrolipoyl dehydrogenase",RC00001  C00003_C00004///RC00583  C15972_C15973,"rn00010: Glycolysis / Gluconeogenesis///rn00020: Citrate cycle (TCA cycle)///rn00280: Valine, leucine and isoleucine degradation///rn00310: Lysine degradation///rn00620: Pyruvate metabolism///rn00640: Propanoate metabolism///rn00785: Lipoic acid metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01240: Biosynthesis of cofactors",dihydrolipoyl dehydrogenase [EC:1.8.1.4],"Citrate cycle (TCA cycle, Krebs cycle)///Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate///Lysine degradation, lysine => saccharopine => acetoacetyl-CoA///Leucine degradation, leucine => acetoacetate + acetyl-CoA///Pyruvate oxidation, pyruvate => acetyl-CoA",,
R07619,,UDP-N-acetyl-D-glucosamine + G13027 <=> UDP + G13026,G10610 + G13027 <=> G10619 + G13026,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R07619  UDP-N-acetyl-D-glucosamine + G13027 <=> UDP + G13026///Glycosyltransferase reactions [BR:br08203]/// N-Acetylglucosaminyltransferase reactions///  R07619  GlcNAc b1-2 Man,,,,rn00515: Mannose type O-glycan biosynthesis///rn01100: Metabolic pathways,"beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.-]",,,
R07620,,Dolichyl phosphate D-mannose + [Protein]-L-serine <=> Dolichyl phosphate + G13027,G10617 + C02189 <=> G10622 + G13027,2.4.1.109,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.109///     R07620  Dolichyl phosphate D-mannose + [Protein]-L-serine <=> Dolichyl phosphate + G13027///Glycosyltransferase reactions [BR:br08203]/// Mannosyltransferase reactions///  R07620  Man a1- Ser/Thr,17380,,,rn00514: Other types of O-glycan biosynthesis///rn00515: Mannose type O-glycan biosynthesis///rn01100: Metabolic pathways,dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109],"O-glycan biosynthesis, mannose type (core M3)",Same as: R04072,
R07621,,UDP-N-acetyl-D-glucosamine + G13026 <=> UDP + G13028,G10610 + G13026 <=> G10619 + G13028,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R07621  UDP-N-acetyl-D-glucosamine + G13026 <=> UDP + G13028///Glycosyltransferase reactions [BR:br08203]/// N-Acetylglucosaminyltransferase reactions///  R07621  GlcNAc b1-6 Man,56255 56259,,,rn00515: Mannose type O-glycan biosynthesis///rn01100: Metabolic pathways,"mannosyl alpha-1,6-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B [EC:2.4.1.-]",,,1  [PMID:14617637]
R07622,,UDP-N-acetyl-D-glucosamine + G00015 <=> UDP + G10818,G10610 + G00015 <=> G10619 + G10818,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R07622  UDP-N-acetyl-D-glucosamine + G00015 <=> UDP + G10818///Glycosyltransferase reactions [BR:br08203]/// N-Acetylglucosaminyltransferase reactions///  R07622  GlcNAc b1-6 Man,,,,,"alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase [EC:2.4.1.155]///mannosyl alpha-1,6-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B [EC:2.4.1.-]",,,
R07623,,UDP-N-acetyl-D-glucosamine + G00015 <=> UDP + G13030,G10610 + G00015 <=> G10619 + G13030,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R07623  UDP-N-acetyl-D-glucosamine + G00015 <=> UDP + G13030///Glycosyltransferase reactions [BR:br08203]/// N-Acetylglucosaminyltransferase reactions///  R07623  GlcNAc b1-6 Man,,,,,"mannosyl alpha-1,6-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B [EC:2.4.1.-]",,,
R07624,,UDP-N-acetyl-D-glucosamine + G10818 <=> UDP + G13029,G10610 + G10818 <=> G10619 + G13029,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R07624  UDP-N-acetyl-D-glucosamine + G10818 <=> UDP + G13029///Glycosyltransferase reactions [BR:br08203]/// N-Acetylglucosaminyltransferase reactions///  R07624  GlcNAc b1-6 Man,,,,,"mannosyl alpha-1,6-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B [EC:2.4.1.-]",,,
R07625,,UDP-N-acetyl-D-glucosamine + G13030 <=> UDP + G13029,G10610 + G13030 <=> G10619 + G13029,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R07625  UDP-N-acetyl-D-glucosamine + G13030 <=> UDP + G13029///Glycosyltransferase reactions [BR:br08203]/// N-Acetylglucosaminyltransferase reactions///  R07625  GlcNAc b1-6 Man,,,,,"mannosyl alpha-1,6-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B [EC:2.4.1.-]",,,
R07626,protein-omega-N-(ADP-D-ribosyl)-L-arginine ADP-ribosylhydrolase,Protein-omega-N-(ADP-D-ribosyl)-L-arginine + H2O <=> ADP-ribose + Protein-L-arginine,C16011 + C00001 <=> C00301 + C00613,3.2.2.19,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.2  Glycosylases///   3.2.2  Hydrolysing N-glycosyl compounds///    3.2.2.19///     R07626  Protein-omega-N-(ADP-D-ribosyl)-L-arginine + H2O <=> ADP-ribose + Protein-L-arginine,14888 47323,,RC00178  C00613_C16011///RC00481  C00301_C16011,,,,,
R07627,cis-stilbene-oxide hydrolase,"cis-Stilbene oxide + H2O <=> (+)-(1R,2R)-1,2-Diphenylethane-1,2-diol",C16014 + C00001 <=> C16015,3.3.2.9,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.3  Acting on ether bonds///   3.3.2  Ether hydrolases///    3.3.2.9///     R07627  cis-Stilbene oxide + H2O <=> (+)-(1R,2R)-1,2-Diphenylethane-1,2-diol",23903,,RC02087  C16014_C16015,,,,,
R07628,,UDP-D-galactose + G00031 <=> UDP + G00032,G10609 + G00031 <=> G10619 + G00032,2.4.1.-,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.4  Glycosyltransferases///   2.4.1  Hexosyltransferases///    2.4.1.-///     R07628  UDP-D-galactose + G00031 <=> UDP + G00032///Glycosyltransferase reactions [BR:br08203]/// Galactosyltransferase reactions///  R07628  Gal b1-4 GlcNAc,,,,rn00512: Mucin type O-glycan biosynthesis///rn01100: Metabolic pathways,"beta-1,4-galactosyltransferase 5 [EC:2.4.1.274 2.4.1.-]",,,
R07629,3-oxo-3-ureidopropanoate amidohydrolase (urea- and malonate-forming),3-Oxo-3-ureidopropanoate + H2O <=> Malonate + Urea,C15607 + C00001 <=> C00383 + C00086,3.5.1.95,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds///   3.5.1  In linear amides///    3.5.1.95///     R07629  3-Oxo-3-ureidopropanoate + H2O <=> Malonate + Urea",17364,,RC00090  C00383_C15607///RC00811  C00086_C15607,rn00240: Pyrimidine metabolism///rn01100: Metabolic pathways,ureidomalonase [EC:3.5.1.95],,,
R07630,"2-trans,6-trans-farnesyl-diphosphate diphosphate-lyase (amorpha-4,11-diene-forming)","trans,trans-Farnesyl diphosphate <=> Amorpha-4,11-diene + Diphosphate",C00448 <=> C16028 + C00013,4.2.3.24,"Enzymatic reactions [BR:br08201]/// 4. Lyase reactions///  4.2  Carbon-oxygen lyases///   4.2.3  Acting on phosphates///    4.2.3.24///     R07630  trans,trans-Farnesyl diphosphate <=> Amorpha-4,11-diene + Diphosphate",18328,,RC02778  C00448_C16028,rn00909: Sesquiterpenoid and triterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites,"amorpha-4,11-diene synthase [EC:4.2.3.24]",,,
